School,ZipCode,Cities,StartingYear,Type,White ,NonWhite,Lunch,Math ,Reading ,Science ,Graduation,Students,Teachers,Bachelors,Masters,Doctoral,Advanced
Adrian Secondary,56110,,9,Public,80.9,19.1,35.1,41.9,51.3,51.3,97.7,180,12,68.3,30.1,0,30.1
Albany Senior High,56307,,9,Public,95.1,4.9,16.6,62.9,47.1,58.6,96.2,541,32,27.9,72.1,0,72.1
Alternative Learning Center Senior High,55428,,9,Alternative ,,,,,,,,,,,,,0
Alexandria Area High School,56308,,9,Public,93.4,6.6,23.7,44.4,61.7,62.7,91.2,"1,211",71,38.4,61.6,0,61.6
Andover High School,55304,,9,Public,88.2,11.8,12.5,53.1,70.7,69.3,97.2,"1,704",71,25,75,0,75
Annandale Senior High,55302,,9,Public,92.5,7.5,20.6,52.7,65.9,58.6,92.6,533,29,27.5,72.5,0,72.5
Anoka High School,55303,,9,Public,80.7,19.3,27.7,39.4,55,50.2,90.9,"2,359",104,29.1,70.9,0,70.9
Anoka-Hennepin Regional High School,55433,,9,Public,56.1,43.9,57.4,2.4,27.3,10.9,22.8,164,18,46.2,53.8,0,53.8
Apollo Senior High,56303,,9,Public,45.5,54.5,60.2,32.4,41.8,57.4,85.8,"1,435",78,46,54,0,54
Apple Valley Senior High ,55124,,9,Public,52.9,47.1,37,53.4,61.5,58,90.5,"1,648",91,23.2,75.7,0,75.7
Austin Senior High,55912,,9,Public,58.4,41.6,47.5,39.6,45.3,41.7,76.3,"1,352",80,39,59.9,0,59.9
Becker Senior High,55308,,9,Public,94.2,5.8,14.7,62.3,61.8,69.3,96.2,863,46,45.3,54.6,0,54.6
Belle Plaine Senior High,56011,,9,Public,88.7,11.3,16,37.7,62.4,60,90.8,488,27,55.8,40.6,0,40.6
Bemidji Senior High,56601,,9,Public,80.5,19.5,36.9,55,65.7,57.7,83.3,"1,405",72,33.4,66.7,0,66.7
Bemidji Senior Lumberjack Alternative Learning Center,56601,,9,Alternative ,,,,,,,,,,,,,0
Big Lake Senior High,55309,,9,Public,86.9,13.1,21.2,41,59.9,51.8,95.1,951,45,28.5,53.4,0,53.4
Blaine High School,55434,,9,Public,73.8,26.2,25.2,34.3,57.8,47.6,91.5,"2,851",126,33.4,66.6,0,66.6
Brainerd Senior High,56401,,9,Public,93,7,30,50,64.6,62.8,87.2,"1,799",85,23.8,76.2,0,76.2
Brandon-Evansville High School,56315,,9,Public,96.4,3.6,25.9,46.2,63,40.7,97,117,8,65,35.1,0,35.1
Breckenridge Senior High,56520,,9,Public,92.3,7.7,31.1,41,50,44.8,92.4,264,15,52.5,47.5,0,47.5
Brooklyn Center Academy,55430,,9,Alternative ,4.3,95.7,91.3,,23.1,10,29.4,43,3,81.4,18.7,0,18.7
Buffalo Senior High,55313,,9,Public,91.4,8.6,20.8,53.2,57.1,57.1,93,"1,835",92,37.5,61,0,61
