"","date","City","ntrips","per_subscriber","per_male","median_age","weekends","AWND","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN"
"1",2017-01-01,"Boston",481,0.787941787941788,0.607068607068607,33,1,14.09,0.07,0,NA,40,44,33
"2",2017-01-01,"Chicago",1727,0.803126809496236,0.580775911986103,33,1,4.92,0,0,0,27,40,17
"3",2017-01-01,"NY",16009,0.773752264351302,0.567305890436629,37,1,5.59,0,0,0,NA,48,40
"4",2017-01-02,"Boston",802,0.840399002493766,0.665835411471322,31,0,4.47,0,0,NA,35,41,28
"5",2017-01-02,"Chicago",1960,0.929081632653061,0.730102040816327,33,0,6.26,0.11,0,0,34,40,25
"6",2017-01-02,"NY",8921,0.936105817733438,0.716735791951575,36,0,9.17,0.21,0,0,NA,41,37
"7",2017-01-03,"Boston",651,0.969278033794163,0.76036866359447,35,0,18.12,0.89,0,NA,41,44,40
"8",2017-01-03,"Chicago",4537,0.989199911836015,0.800528983910073,35,0,10.07,0,0,0,38,39,19
"9",2017-01-03,"NY",14198,0.988589942245387,0.790674742921538,38,0,10.74,0.58,0,0,NA,43,39
"10",2017-01-04,"Boston",1534,0.932855280312907,0.733376792698827,35,0,12.53,0.06,0,NA,43,48,33
"11",2017-01-04,"Chicago",3269,0.989599265830529,0.8176812480881,36,0,17,0,0,0,18,19,7
"12",2017-01-04,"NY",34039,0.95681424248656,0.739181527071888,39,0,8.05,0,0,0,NA,52,34
"13",2017-01-05,"Boston",1330,0.957142857142857,0.764661654135338,35,0,14.76,0,0,NA,32,34,27
"14",2017-01-05,"Chicago",2917,0.989715461090161,0.827219746314707,36,0,12.75,0,0,0,9,13,3
"15",2017-01-05,"NY",28393,0.975979995069207,0.768287958299581,39,0,7.83,0,0,0,NA,34,27
"16",2017-01-06,"Boston",836,0.972488038277512,0.800239234449761,33,0,8.05,0.06,1.1,NA,29,31,24
"17",2017-01-06,"Chicago",2516,0.988871224165342,0.835850556438792,36,0,10.07,0,0,0,4,9,0
"18",2017-01-06,"NY",24177,0.979567357405799,0.776729949952434,39,0,4.7,0.05,1.2,1.2,NA,33,25
"19",2017-01-07,"Boston",106,0.971698113207547,0.764150943396226,32,1,14.32,0.53,7,NA,23,24,17
"20",2017-01-07,"Chicago",1330,0.968421052631579,0.746616541353384,32,1,10.74,0,0,0,6,18,0
"21",2017-01-07,"NY",4425,0.979435028248588,0.767683615819209,37,1,7.61,0.32,5.1,0,NA,26,20
"22",2017-01-08,"Boston",111,0.981981981981982,0.810810810810811,28,1,13.42,0.01,0.2,NA,18,22,13
"23",2017-01-08,"Chicago",1193,0.962279966471081,0.732606873428332,32,1,9.62,0,0,0,9,19,2
"24",2017-01-08,"NY",6417,0.988468131525635,0.779491974442886,35,1,8.72,0,0,3.9,NA,25,16
"25",2017-01-09,"Boston",392,0.987244897959184,0.852040816326531,32,0,11.18,0,0,NA,15,20,11
"26",2017-01-09,"Chicago",3816,0.988469601677149,0.820492662473795,36,0,12.97,0.02,0.2,0,22,33,19
"27",2017-01-09,"NY",15856,0.995837537840565,0.807832996972755,38,0,5.14,0,0,3.1,NA,23,14
"28",2017-01-10,"Boston",469,0.946695095948827,0.769722814498934,34,0,9.4,0.14,0,NA,23,39,16
"29",2017-01-10,"Chicago",3310,0.99214501510574,0.833232628398792,35,0,23.26,0.2,0,0,38,51,25
"30",2017-01-10,"NY",23232,0.991821625344353,0.785898760330578,38,0,4.7,0,0,3.1,NA,46,21
"31",2017-01-11,"Boston",773,0.975420439844761,0.730918499353169,32,0,14.99,0.09,0,NA,45,55,39
"32",2017-01-11,"Chicago",3821,0.989008113059409,0.813399633603769,36,0,12.08,0.33,0,0,32,43,25
"33",2017-01-11,"NY",32419,0.978839569388322,0.756901816835806,39,0,5.82,0.52,0,0,NA,52,42
"34",2017-01-12,"Boston",763,0.964613368283093,0.739187418086501,32,0,14.54,0.15,0,NA,50,61,41
"35",2017-01-12,"Chicago",3071,0.989254314555519,0.833930315858027,35,0,11.18,0.05,0.2,0,26,28,19
"36",2017-01-12,"NY",39783,0.968277907648996,0.746901943040997,38,0,7.61,0.05,0,0,NA,66,47
"37",2017-01-13,"Boston",686,0.975218658892128,0.76530612244898,32,0,16.33,0,0,NA,49,58,25
"38",2017-01-13,"Chicago",3676,0.982589771490751,0.82480957562568,36,0,8.95,0,0,0,20,27,16
"39",2017-01-13,"NY",33611,0.964059385320282,0.751242152866621,38,0,7.16,0,0,0,NA,62,32
"40",2017-01-14,"Boston",336,0.979166666666667,0.767857142857143,30,1,9.62,0,0,NA,26,31,18
"41",2017-01-14,"Chicago",2160,0.915740740740741,0.712962962962963,32,1,4.7,0,0,0,29,35,21
